test,dimensions,error1,error2,time
knn,2,0.105,0.0,0.02242542106891051
knn,12,0.115,0.0,0.010838285649660974
knn,22,0.1,0.0,0.014083482469432055
knn,32,0.1,0.0,0.014922106566373258
knn,42,0.11,0.0,0.015855358527041973
knn,52,0.105,0.0,0.016531256327871235
knn,62,0.125,0.0,0.01758354765828699
knn,72,0.115,0.0,0.018749632213730365
knn,82,0.105,0.0,0.02012225939426571
knn,92,0.075,0.0,0.02124990335898474
knn,102,0.1,0.0,0.02391386259580031
knn,107,0.125,0.0,0.025343407448381185
som,2,0.06,0.0,0.03927307940088212
som,12,0.09,0.0,0.04292413262883201
som,22,0.075,0.0,0.05317721391096711
som,32,0.08,0.0,0.062149039022624496
som,42,0.06,0.0,0.07651310704182833
som,52,0.07,0.0,0.08539628008846194
som,62,0.045,0.0,0.09641747545218095
som,72,0.09,0.0,0.10676115924492478
som,82,0.075,0.0,0.11834249147679657
som,92,0.07,0.0,0.13339183610631153
som,102,0.085,0.0,0.14769684457220136
som,107,0.06,0.0,0.15444557928014546
c2st_knn,2,0.105,0.06,0.0056362741230987015
c2st_knn,12,0.105,0.0,0.00648211051011458
c2st_knn,22,0.075,0.0,0.0072976660099811855
c2st_knn,32,0.065,0.0,0.007670264095067978
c2st_knn,42,0.085,0.0,0.007574335373938083
c2st_knn,52,0.08,0.0,0.007731616406235844
c2st_knn,62,0.12,0.0,0.007854831374716013
c2st_knn,72,0.075,0.0,0.007967140732798726
c2st_knn,82,0.11,0.0,0.008061670721508563
c2st_knn,92,0.08,0.0,0.008212147033773362
c2st_knn,102,0.075,0.0,0.00832898922963068
c2st_knn,107,0.115,0.0,0.008389865003991873
c2st_nn,2,0.08,0.005,0.14904637687839567
c2st_nn,12,0.065,0.06,0.16781970977317542
c2st_nn,22,0.115,0.14,0.11765823394991458
c2st_nn,32,0.06,0.08,0.1315725596062839
c2st_nn,42,0.105,0.08,0.13845525103155523
c2st_nn,52,0.1,0.025,0.13644852864556015
c2st_nn,62,0.115,0.025,0.13249209072906523
c2st_nn,72,0.075,0.05,0.12792679000645876
c2st_nn,82,0.09,0.02,0.1349122773623094
c2st_nn,92,0.07,0.06,0.1399274210911244
c2st_nn,102,0.055,0.04,0.1470404388033785
c2st_nn,107,0.1,0.04,0.15407792206620796
