test,dimensions,error1,error2,time
knn,2,0.13,0.875,0.00683746648253873
knn,12,0.1,0.81,0.010870449380017817
knn,22,0.07,0.875,0.014213603520765901
knn,32,0.105,0.87,0.015170946419239044
knn,42,0.06,0.88,0.01616985145257786
knn,52,0.11,0.845,0.01857337886933237
knn,62,0.1,0.805,0.01959968795767054
knn,72,0.11,0.875,0.021427435481455176
knn,82,0.105,0.865,0.024570885899011047
knn,92,0.095,0.805,0.025271003653761
knn,102,0.09,0.86,0.02777181808836758
knn,107,0.12,0.875,0.029392611724324523
som,2,0.085,0.875,0.0368051655148156
som,12,0.065,0.875,0.04283170147100464
som,22,0.075,0.92,0.05308271219488234
som,32,0.055,0.885,0.06212242338107899
som,42,0.085,0.895,0.07786762540461495
som,52,0.065,0.86,0.09846061564283445
som,62,0.095,0.9,0.09709803016390652
som,72,0.05,0.865,0.10724433412309736
som,82,0.065,0.9,0.13497021028306336
som,92,0.1,0.885,0.13430784934666007
som,102,0.085,0.91,0.14878646574914456
som,107,0.11,0.885,0.1561954292911105
c2st_knn,2,0.09,0.94,0.005493970527313649
c2st_knn,12,0.09,0.925,0.0064715513470582665
c2st_knn,22,0.09,0.935,0.007369873146526516
c2st_knn,32,0.11,0.895,0.007392485423479229
c2st_knn,42,0.1,0.93,0.008050704475026578
c2st_knn,52,0.08,0.88,0.009048766372725368
c2st_knn,62,0.13,0.885,0.007845135943498463
c2st_knn,72,0.085,0.87,0.007981727290898561
c2st_knn,82,0.11,0.93,0.009296767050400376
c2st_knn,92,0.075,0.915,0.008226744222920388
c2st_knn,102,0.11,0.9,0.008342042139265687
c2st_knn,107,0.06,0.905,0.00894592777825892
c2st_nn,2,0.07,0.94,0.08673977127531543
c2st_nn,12,0.06,0.885,0.11131273234495893
c2st_nn,22,0.08,0.93,0.0978804964851588
c2st_nn,32,0.055,0.94,0.09799399614566937
c2st_nn,42,0.08,0.91,0.11856018762104213
c2st_nn,52,0.085,0.92,0.13940794857684524
c2st_nn,62,0.07,0.92,0.12822329540736974
c2st_nn,72,0.055,0.94,0.12932613941375165
c2st_nn,82,0.05,0.875,0.17860980031080545
c2st_nn,92,0.04,0.9,0.13277811440872028
c2st_nn,102,0.085,0.96,0.14352552901022136
c2st_nn,107,0.035,0.95,0.1893409785279073
