test,dimensions,error1,error2,time
knn,2,0.0,1.0,0.00768858757102862
knn,52,0.085,1.0,0.029328906727023422
knn,102,0.09,0.29,0.036436725652311
knn,152,0.11,0.0,0.04012069476302713
knn,202,0.115,0.0,0.11023534753127023
knn,252,0.125,0.0,0.1586726165469736
knn,302,0.125,0.0,0.18607412077253685
knn,352,0.075,0.0,0.21049785173265265
knn,402,0.085,0.0,0.2337143828906119
knn,452,0.13,0.0,0.259010494411923
knn,502,0.11,0.0,0.282295688719023
knn,552,0.12,0.0,0.3064911080012098
knn,602,0.125,0.0,0.3304494207096286
knn,652,0.145,0.0,0.35504445204045626
knn,702,0.08,0.0,0.37909649970242754
knn,752,0.07,0.0,0.42391841966426
knn,784,0.095,0.0,0.44089674183866007
som,2,0.0,1.0,0.034218927894253286
som,52,0.015,0.995,0.08234192877542228
som,102,0.06,0.0,0.1474642821215093
som,152,0.055,0.0,0.21628728029783814
som,202,0.115,0.0,0.28223233549157156
som,252,0.045,0.0,0.3504635561560281
som,302,0.09,0.0,0.42103209293214605
som,352,0.115,0.0,0.48626657514367255
som,402,0.085,0.0,0.5572579011763446
som,452,0.11,0.0,0.6208755202544853
som,502,0.055,0.0,0.6952806037385016
som,552,0.08,0.0,0.7587993124569766
som,602,0.055,0.0,0.8348994079907425
som,652,0.125,0.0,0.8969830984482542
som,702,0.06,0.0,0.9797920924471691
som,752,0.09,0.0,1.045046715871431
som,784,0.095,0.0,1.0889806889207103
c2st_knn,2,0.04,0.965,0.006115052113309503
c2st_knn,52,0.035,0.975,0.006728092902339995
c2st_knn,102,0.065,0.265,0.0075200962112285195
c2st_knn,152,0.075,0.0,0.008942048626486211
c2st_knn,202,0.095,0.0,0.009703464074991643
c2st_knn,252,0.095,0.0,0.0104942908231169
c2st_knn,302,0.075,0.0,0.011149698563385754
c2st_knn,352,0.125,0.0,0.011918809069320559
c2st_knn,402,0.115,0.0,0.012714777772780508
c2st_knn,452,0.065,0.0,0.013433575828094036
c2st_knn,502,0.09,0.0,0.014194387283641845
c2st_knn,552,0.105,0.0,0.015034235585480928
c2st_knn,602,0.08,0.0,0.015757579861674458
c2st_knn,652,0.08,0.0,0.017061652273405344
c2st_knn,702,0.12,0.0,0.018785786323715
c2st_knn,752,0.1,0.0,0.019487154595553877
c2st_knn,784,0.09,0.0,0.020280046642292292
c2st_nn,2,0.05,0.955,0.0312624154984951
c2st_nn,52,0.02,0.955,0.045551972060929986
c2st_nn,102,0.07,0.0,0.34486814830685036
c2st_nn,152,0.115,0.0,0.47820980901131405
c2st_nn,202,0.09,0.01,0.5922399466880597
c2st_nn,252,0.12,0.0,0.616515635708347
c2st_nn,302,0.09,0.0,0.46783464365173133
c2st_nn,352,0.09,0.0,0.4658475703140721
c2st_nn,402,0.11,0.0,0.46715692695463074
c2st_nn,452,0.06,0.0,0.4512714724731632
c2st_nn,502,0.095,0.0,0.44622102290624754
c2st_nn,552,0.095,0.0,0.4441269614198245
c2st_nn,602,0.06,0.0,0.44490143752424044
c2st_nn,652,0.065,0.0,0.46608911039074885
c2st_nn,702,0.11,0.0,0.4861731959087774
c2st_nn,752,0.065,0.0,0.5018800892797298
c2st_nn,784,0.095,0.0,0.5105611258838326
