test,dimensions,error1,error2,time
knn,2,0.125,0.885,0.008469994187480552
knn,102,0.16,0.875,0.11137085005247854
knn,202,0.08,0.845,0.18714448223749286
knn,302,0.075,0.89,0.2995633925650168
knn,402,0.115,0.935,0.3719331070525186
knn,502,0.095,0.91,0.4153392606524858
knn,602,0.11,0.915,0.5146721999475403
knn,702,0.11,0.87,0.7331219073525336
knn,802,0.11,0.855,0.8597387540850377
knn,902,0.115,0.935,1.001698177845028
knn,1000,0.09,0.92,1.0925273362499683
som,2,0.045,0.935,0.03274504754499048
som,102,0.125,0.915,0.08965652518000752
som,202,0.085,0.935,0.1406841939625042
som,302,0.09,0.95,0.24708598963249187
som,402,0.085,0.915,0.2821786308524997
som,502,0.06,0.935,0.23649303528999555
som,602,0.065,0.905,0.27869834077748235
som,702,0.08,0.9,0.4652518435050615
som,802,0.06,0.91,0.49850684943251056
som,902,0.105,0.935,0.5461271835774824
som,1000,0.075,0.925,0.5971643242674963
c2st_knn,2,0.12,0.945,0.007903105567486364
c2st_knn,102,0.065,0.915,0.04348035605500627
c2st_knn,202,0.125,0.91,0.09418892894250348
c2st_knn,302,0.075,0.945,0.10666471972001318
c2st_knn,402,0.11,0.9,0.1345423999474906
c2st_knn,502,0.125,0.885,0.15556634187757026
c2st_knn,602,0.115,0.93,0.1852905935699664
c2st_knn,702,0.08,0.92,0.2380087207674842
c2st_knn,802,0.055,0.86,0.2808526127699724
c2st_knn,902,0.125,0.89,0.3200826308925343
c2st_knn,1000,0.08,0.93,0.3521213595375184
c2st_nn,2,0.065,0.92,0.17734582916001274
c2st_nn,102,0.08,0.895,0.6775657848149899
c2st_nn,202,0.075,0.92,0.6910198257975116
c2st_nn,302,0.105,0.885,0.5906816036624991
c2st_nn,402,0.07,0.935,0.5009365125675095
c2st_nn,502,0.095,0.92,0.5155595397424895
c2st_nn,602,0.085,0.875,0.6198446777049912
c2st_nn,702,0.11,0.92,0.6955518350125203
c2st_nn,802,0.09,0.905,0.7193893656874388
c2st_nn,902,0.11,0.93,0.7414889660474864
c2st_nn,1000,0.07,0.925,0.8084383538250313
