test,dimensions,error1,error2,time
knn,2,0.09,0.0,0.00691817392827943
knn,102,0.12,0.0,0.06203359971288592
knn,202,0.12,0.0,0.12974196300376206
knn,302,0.105,0.0,0.18393571930471808
knn,402,0.12,0.0,0.2336672512278892
knn,502,0.125,0.0,0.2808188625774346
knn,602,0.095,0.0,0.3290882469364442
knn,702,0.09,0.0,0.3763217983744107
knn,802,0.125,0.0,0.4236613166495226
knn,902,0.13,0.0,0.47129587158327924
knn,1000,0.135,0.0,0.5186937230522745
som,2,0.07,0.0,0.038708447825629266
som,102,0.105,0.0,0.14712493322091177
som,202,0.085,0.0,0.27922974861226973
som,302,0.075,0.0,0.4198349288362078
som,402,0.09,0.0,0.5608580304356292
som,502,0.095,0.0,0.7035142573481425
som,602,0.075,0.0,0.8442297086608597
som,702,0.1,0.0,0.9841834960714914
som,802,0.055,0.0,1.1240295143495314
som,902,0.075,0.0,1.264144381689839
som,1000,0.105,0.0,1.3906532971234993
c2st_knn,2,0.09,0.0,0.00688695561606437
c2st_knn,102,0.065,0.0,0.0101444142870605
c2st_knn,202,0.11,0.0,0.011616437376942486
c2st_knn,302,0.08,0.0,0.013155280684586615
c2st_knn,402,0.075,0.0,0.014976083997171373
c2st_knn,502,0.095,0.0,0.01667312970152125
c2st_knn,602,0.095,0.0,0.018208165417890994
c2st_knn,702,0.085,0.0,0.0199386843922548
c2st_knn,802,0.105,0.0,0.021872243823017924
c2st_knn,902,0.06,0.0,0.02338889837730676
c2st_knn,1000,0.07,0.0,0.025246912906877698
c2st_nn,2,0.115,0.0,0.19025367196882143
c2st_nn,102,0.1,0.0,0.4980787876085378
c2st_nn,202,0.115,0.0,0.5767797655658796
c2st_nn,302,0.085,0.0,0.635917844264768
c2st_nn,402,0.09,0.0,0.7009385145315901
c2st_nn,502,0.085,0.0,0.7648993957065977
c2st_nn,602,0.1,0.0,0.830956510247197
c2st_nn,702,0.09,0.0,0.9109137826832011
c2st_nn,802,0.075,0.0,0.9993416843144223
c2st_nn,902,0.105,0.0,1.0854755964595824
c2st_nn,1000,0.095,0.0,1.1999687157291918
