test,dimensions,error1,error2,time
knn,2,0.115,0.875,0.01632127824705094
knn,102,0.13,0.0,0.17436852366197855
knn,202,0.13,0.0,0.32631295183673503
knn,302,0.105,0.0,0.4881939425365999
knn,402,0.135,0.0,0.641499072802253
knn,502,0.12,0.0,0.7746490232879296
knn,602,0.13,0.0,0.8826666544098407
knn,702,0.135,0.0,1.0462565629323946
knn,802,0.12,0.0,1.172804342713207
knn,902,0.135,0.0,1.2863153572473676
knn,1000,0.065,0.0,1.4414929964020848
som,2,0.065,0.9,0.10300923436880112
som,102,0.09,0.625,0.3369913908233866
som,202,0.105,0.6,0.6102074958849698
som,302,0.095,0.51,0.8841996458591893
som,402,0.075,0.48,1.1019270293461159
som,502,0.065,0.51,1.3664217787981032
som,602,0.08,0.44,1.6497481800429523
som,702,0.04,0.395,1.9042248217295856
som,802,0.12,0.42,2.1249492635950444
som,902,0.085,0.405,2.3623691060300915
som,1000,0.075,0.47,2.6417294062254952
c2st_knn,2,0.085,0.905,0.014330289321951567
c2st_knn,102,0.065,0.075,0.020280324560590087
c2st_knn,202,0.08,0.0,0.023177842064760625
c2st_knn,302,0.09,0.0,0.024012832595035435
c2st_knn,402,0.06,0.0,0.027766814157366752
c2st_knn,502,0.08,0.0,0.029627454220317304
c2st_knn,602,0.105,0.0,0.029854287803173066
c2st_knn,702,0.095,0.0,0.03321959071792662
c2st_knn,802,0.07,0.0,0.035406983201391996
c2st_knn,902,0.085,0.0,0.03947929324116558
c2st_knn,1000,0.105,0.0,0.04346253990661353
c2st_nn,2,0.075,0.935,0.3501324799330905
c2st_nn,102,0.115,0.0,1.3527946884883568
c2st_nn,202,0.075,0.01,1.2110694441525265
c2st_nn,302,0.095,0.02,1.1992432941542939
c2st_nn,402,0.1,0.045,1.3257749386550859
c2st_nn,502,0.075,0.045,1.3958644895255565
c2st_nn,602,0.09,0.03,1.4287018739338964
c2st_nn,702,0.1,0.035,1.4624715510150417
c2st_nn,802,0.08,0.03,1.5524548313580453
c2st_nn,902,0.11,0.02,1.6361798136029393
c2st_nn,1000,0.135,0.025,1.7135970400413498
