test,samples,error1,error2,time
knn,100,0.13,0.0,0.006326595470309258
knn,250,0.11,0.0,0.019104756717570125
knn,500,0.085,0.0,0.04160333336680196
knn,1000,0.085,0.0,0.13270639673457482
knn,2500,0.11,0.0,0.5484638676804025
knn,5000,0.13,0.0,1.998954593501985
knn,10000,0.14,0.0,3.8253572916076517
som,100,0.01,0.0,0.05459000554285012
som,250,0.055,0.0,0.13285871461499482
som,500,0.09,0.0,0.2484113841096405
som,1000,0.055,0.0,0.49154047036310655
som,2500,0.065,0.0,1.2377583214780317
som,5000,0.075,0.0,1.6815885317476933
som,10000,0.095,0.0,3.3894237165525554
c2st_knn,100,0.125,0.17,0.0041374796093441545
c2st_knn,250,0.12,0.005,0.005435994112631306
c2st_knn,500,0.105,0.0,0.01650674326927401
c2st_knn,1000,0.105,0.0,0.032735611509997396
c2st_knn,2500,0.11,0.0,0.18586023156181908
c2st_knn,5000,0.1,0.0,0.48094794785487466
c2st_knn,10000,0.115,0.0,1.7630663510772866
c2st_nn,100,0.18,0.2,0.19020459550898522
c2st_nn,250,0.085,0.025,0.21787956040468998
c2st_nn,500,0.05,0.055,0.25250764287193306
c2st_nn,1000,0.125,0.035,0.3747181661752984
c2st_nn,2500,0.03,0.01,0.821993487108266
c2st_nn,5000,0.09,0.005,1.007683574667899
c2st_nn,10000,0.025,0.005,1.9528621550300158
