test,samples,error1,error2,time
knn,100,0.135,0.89,0.005451306132599711
knn,250,0.13,0.845,0.014099026282783597
knn,500,0.11,0.81,0.03661085151950829
knn,1000,0.12,0.835,0.11075230987975374
knn,2500,0.14,0.69,0.4933175144076813
knn,5000,0.1,0.61,1.5495232060959097
knn,10000,0.105,0.365,8.277880599690834
som,100,0.01,0.97,0.03658957459963858
som,250,0.04,0.955,0.08369398121722042
som,500,0.09,0.895,0.16371898842975496
som,1000,0.09,0.86,0.33125329919275825
som,2500,0.125,0.755,0.8403989655117039
som,5000,0.085,0.53,1.68426271038712
som,10000,0.12,0.21,3.465450053407112
c2st_knn,100,0.13,0.89,0.002926398665877059
c2st_knn,250,0.05,0.885,0.005145994229242206
c2st_knn,500,0.055,0.905,0.011173811034532265
c2st_knn,1000,0.06,0.915,0.026294500039657578
c2st_knn,2500,0.095,0.855,0.1356183873966802
c2st_knn,5000,0.095,0.895,0.4808164742891677
c2st_knn,10000,0.13,0.835,1.7954963436443359
c2st_nn,100,0.11,0.85,0.14063582698930988
c2st_nn,250,0.09,0.915,0.15910093433223665
c2st_nn,500,0.055,0.95,0.16588628514087758
c2st_nn,1000,0.08,0.915,0.2535585653630551
c2st_nn,2500,0.055,0.865,0.5373405228124466
c2st_nn,5000,0.135,0.89,0.9930374326650053
c2st_nn,10000,0.1,0.815,1.891096155064879
