test,samples,error1,error2,time
knn,100,0.0065,0.027,0.004112481997231953
knn,250,0.0125,0.0,0.01005045522621367
knn,500,0.01,0.0,0.02177230448939372
knn,2500,0.007,0.0,0.11235276237223298
knn,5000,0.0085,0.0,0.2988003963738447
knn,10000,0.0125,0.0,0.5749731872205157
som,100,0.0,0.9575,0.022703566421056167
som,250,0.0,0.006,0.04745524950523395
som,500,0.0,0.0,0.07093984311644454
som,2500,0.0005,0.0,0.32181549827125855
som,5000,0.001,0.0,0.6636377919343067
som,10000,0.0,0.0,1.3289989938170184
c2st_knn,100,0.001,0.836,0.004289901913958602
c2st_knn,250,0.001,0.2355,0.006354623751481995
c2st_knn,500,0.0005,0.0045,0.008761935877031647
c2st_knn,2500,0.001,0.0,0.11402300574292895
c2st_knn,5000,0.0015,0.0,0.3959487700982718
c2st_knn,10000,0.001,0.0,1.4352057299162262
c2st_nn,100,0.0005,0.921,0.19192047860275488
c2st_nn,250,0.001,0.4125,0.3445125058396952
c2st_nn,500,0.0,0.0485,0.27650300188572147
c2st_nn,2500,0.001,0.0,0.8937674046795583
c2st_nn,5000,0.0,0.0,1.581483161885175
c2st_nn,10000,0.0,0.0,4.114442577215494
