test,samples,error1,error2,time
knn,100,0.0085,0.966,0.004720875469734892
knn,250,0.0095,0.8635,0.01200455068575684
knn,500,0.0105,0.4425,0.025441824528970754
knn,2500,0.012,0.0,0.17640932907676324
knn,5000,0.006,0.0,0.36664919249108063
knn,10000,0.01,0.0,0.6494342228935566
som,100,0.0,1.0,0.02597718659369275
som,250,0.0,0.996,0.0519467882134486
som,500,0.0005,0.916,0.09915357608278282
som,2500,0.001,0.0005,0.5375720488469815
som,5000,0.0,0.0,0.7730076446346938
som,10000,0.001,0.0,1.3284864614452236
c2st_knn,100,0.001,0.999,0.0027466093434486537
c2st_knn,250,0.002,0.9955,0.00725180533004459
c2st_knn,500,0.001,0.99,0.01402385223202873
c2st_knn,2500,0.0,0.0005,0.1785986703360686
c2st_knn,5000,0.0005,0.0,0.45640259109879844
c2st_knn,10000,0.0005,0.0,1.8360756848321762
c2st_nn,100,0.001,0.999,0.20074074917007237
c2st_nn,250,0.0005,0.9955,0.3506038599543972
c2st_nn,500,0.0015,0.9935,0.4056687078191899
c2st_nn,2500,0.0,0.3815,1.2819827090747422
c2st_nn,5000,0.0005,0.0475,1.704287715786253
c2st_nn,10000,0.0005,0.004,3.200762653593789
