test,samples,error1,error2,time
knn,100,0.15,0.0,0.049712158432230355
knn,250,0.11,0.0,0.3047320079349447
knn,500,0.11,0.0,1.5270111681648997
knn,1000,0.115,0.0,9.500003314208007
knn,2500,0.095,0.0,51.466642046074845
knn,5000,0.13,0.0,164.0901695640804
som,100,0.035,0.0,0.3683329042268451
som,250,0.07,0.0,0.9041924297099467
som,500,0.07,0.0,1.7893219692842104
som,1000,0.12,0.0,3.6313872673106378
som,2500,0.07,0.0,8.563548710372997
som,5000,0.12,0.0,12.95599946681643
c2st_knn,100,0.105,0.0,0.008209363162750378
c2st_knn,250,0.135,0.0,0.018785945932613686
c2st_knn,500,0.1,0.0,0.03705042596440762
c2st_knn,1000,0.125,0.0,0.11817739906255156
c2st_knn,2500,0.085,0.0,0.41433479174855165
c2st_knn,5000,0.055,0.0,1.1321181658376007
c2st_nn,100,0.09,0.0,0.35946168058202604
c2st_nn,250,0.065,0.0,0.7216728353244253
c2st_nn,500,0.08,0.0,1.2143061769509222
c2st_nn,1000,0.065,0.0,2.2291487492702435
c2st_nn,2500,0.075,0.0,4.6548563234426545
c2st_nn,5000,0.1,0.0,8.568891996269812
