test,samples,error1,error2,time
knn,100,0.095,0.86,0.0399381017149426
knn,250,0.11,0.845,0.23109152812161482
knn,500,0.06,0.89,0.9320030458399561
knn,1000,0.12,0.89,5.960192819648655
knn,2500,0.115,0.89,43.07256074948003
knn,5000,0.1,0.915,269.492593558759
som,100,0.045,0.975,0.3929414802894462
som,250,0.05,0.935,0.9686702417745255
som,500,0.085,0.915,1.9044701837468891
som,1000,0.075,0.865,4.847380928297062
som,2500,0.11,0.895,9.95906915456173
som,5000,0.075,0.915,30.70278688643826
c2st_knn,100,0.15,0.93,0.005446539442054928
c2st_knn,250,0.11,0.875,0.012354943605605512
c2st_knn,500,0.11,0.945,0.031016872940817848
c2st_knn,1000,0.12,0.88,0.0924980056413915
c2st_knn,2500,0.08,0.89,0.4513722680392675
c2st_knn,5000,0.105,0.93,2.2107710973394568
c2st_nn,100,0.115,0.865,0.19089335511089303
c2st_nn,250,0.12,0.865,0.558504647735972
c2st_nn,500,0.1,0.92,1.299030938646756
c2st_nn,1000,0.13,0.935,4.082825719229877
c2st_nn,2500,0.07,0.915,5.615446550665656
c2st_nn,5000,0.105,0.885,19.476953858936906
