test,samples,error1,error2,time
knn,100,0.09,0.0,1.3007425549055915
knn,250,0.08,0.0,1.5963982457306702
knn,500,0.115,0.0,3.6198446475109085
knn,1000,0.145,0.0,11.164050007179613
knn,2500,0.125,0.0,52.00116213453235
knn,5000,0.12,0.0,162.47068163342192
som,100,0.035,0.0,1.7358107139403
som,250,0.06,0.0,2.3831620919099077
som,500,0.06,0.0,3.5423022188805042
som,1000,0.105,0.0,5.574549094537506
som,2500,0.075,0.0,11.566650422854583
som,5000,0.1,0.0,16.898641388622345
c2st_knn,100,0.1,0.0,1.2991034959198442
c2st_knn,250,0.11,0.0,1.2577839702856728
c2st_knn,500,0.115,0.0,1.31721991751343
c2st_knn,1000,0.105,0.0,1.3670804404327646
c2st_knn,2500,0.085,0.0,1.83766538342461
c2st_knn,5000,0.05,0.0,2.5714594890724403
c2st_nn,100,0.12,0.005,1.901126530165784
c2st_nn,250,0.13,0.0,2.8008985761133953
c2st_nn,500,0.06,0.0,3.973885916355066
c2st_nn,1000,0.09,0.0,5.698044742579805
c2st_nn,2500,0.085,0.0,8.570556402046932
c2st_nn,5000,0.145,0.0,9.538678888239666
