test,samples,error1,error2,time
knn,100,0.11,0.0,1.643344632217195
knn,250,0.11,0.0,1.9213051291473675
knn,500,0.085,0.0,3.4205403912393377
knn,1000,0.105,0.0,10.726311079658336
knn,2500,0.135,0.0,52.498483492071976
knn,5000,0.115,0.0,163.63908132814453
som,100,0.005,0.935,2.1002028653456364
som,250,0.045,0.775,2.6584490260493476
som,500,0.09,0.385,3.6797489049471914
som,1000,0.095,0.085,5.725757270349423
som,2500,0.115,0.0,12.020851908000186
som,5000,0.07,0.0,17.0433658112376
c2st_knn,100,0.15,0.0,1.6166226690576877
c2st_knn,250,0.11,0.0,1.5320659366925247
c2st_knn,500,0.11,0.0,1.5374402703752275
c2st_knn,1000,0.08,0.0,1.6005631280771921
c2st_knn,2500,0.07,0.0,2.037144830049947
c2st_knn,5000,0.085,0.0,2.7129210890247486
c2st_nn,100,0.135,0.8,1.9508742996607906
c2st_nn,250,0.15,0.575,2.382460870738141
c2st_nn,500,0.06,0.015,3.380620237204712
c2st_nn,1000,0.09,0.0,4.848520384274889
c2st_nn,2500,0.1,0.0,7.497782726105069
c2st_nn,5000,0.095,0.0,8.483016143740388
