test,samples,error1,error2,time
knn,100,0.08,0.77,0.040623816676670685
knn,250,0.095,0.41,0.22783823820995167
knn,500,0.105,0.095,0.8981596882105805
knn,1000,0.075,0.0,7.204672620622441
knn,2500,0.12,0.0,41.2049330532318
knn,5000,0.09,0.0,288.9982839231566
som,100,0.04,0.965,0.39417639848194086
som,250,0.055,0.95,0.9801296746206936
som,500,0.115,0.905,1.9090855898032897
som,1000,0.115,0.895,4.576542247523321
som,2500,0.085,0.835,9.805332464970416
som,5000,0.11,0.785,31.518477871319046
c2st_knn,100,0.115,0.875,0.0055948228423949335
c2st_knn,250,0.135,0.855,0.013474409439368173
c2st_knn,500,0.105,0.775,0.031738731047371405
c2st_knn,1000,0.12,0.43,0.14851217584800908
c2st_knn,2500,0.105,0.045,0.4553630331065506
c2st_knn,5000,0.095,0.0,2.1800185056671033
c2st_nn,100,0.11,0.85,0.18762163162464277
c2st_nn,250,0.105,0.91,0.5855783409660217
c2st_nn,500,0.08,0.89,1.3966294232115615
c2st_nn,1000,0.095,0.86,3.9380700435361358
c2st_nn,2500,0.105,0.54,5.7021170008077755
c2st_nn,5000,0.065,0.0,18.991626075594684
