test,samples,error1,error2,time
knn,100,0.0075,0.1545,0.0029524466190487147
knn,200,0.0095,0.004,0.004884232269134372
knn,250,0.009,0.0,0.006434317557141185
knn,300,0.0075,0.0,0.007738844542764127
knn,400,0.0085,0.0,0.012023621721193194
knn,500,0.0115,0.0,0.014092643073177896
knn,2500,0.0065,0.0,0.11480077610490844
knn,5000,0.0085,0.0,0.2998063780857483
knn,10000,0.013,0.0,2.2829940621512943
som,100,0.0,0.993,0.013801947272964753
som,200,0.0,0.3275,0.02333093208214268
som,250,0.0,0.076,0.028960462580434977
som,300,0.0,0.0125,0.034390969050116835
som,400,0.0005,0.0,0.05082812911365181
som,500,0.0,0.0,0.055241811675485225
som,2500,0.001,0.0,0.31747241696168205
som,5000,0.0,0.0,0.6495340368379838
som,10000,0.0005,0.0,2.7009755824585446
c2st_knn,100,0.0005,0.938,0.0022637371430173515
c2st_knn,200,0.003,0.702,0.003235680392012
c2st_knn,250,0.001,0.5355,0.004093661011545919
c2st_knn,300,0.002,0.4415,0.0054958797441795465
c2st_knn,400,0.0015,0.189,0.007292620002292097
c2st_knn,500,0.0,0.0685,0.007896420310251414
c2st_knn,2500,0.0,0.0,0.1102042719880119
c2st_knn,5000,0.001,0.0,0.3911973411764484
c2st_knn,10000,0.0025,0.0,2.7806189180952496
c2st_nn,100,0.001,0.977,0.12337818090128712
c2st_nn,200,0.0005,0.8605,0.20752665166789666
c2st_nn,250,0.0005,0.7565,0.21707739606371615
c2st_nn,300,0.0,0.6855,0.21726261198613792
c2st_nn,400,0.0005,0.44,0.2571026595933363
c2st_nn,500,0.0005,0.274,0.256367876318749
c2st_nn,2500,0.0005,0.0,0.8054507042651531
c2st_nn,5000,0.0,0.001,1.8779128265012988
c2st_nn,10000,0.0,0.0,5.44165796728502
